from,to,add,gravity_rd,distance,duration,duration_imp,border_dist,border_time,total_time,cost_per_km,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20,Qjk_21,Qjk_22
1,2,0,157.522826532098,65.988,0.769166666666667,39.5928,0,0,46.15,165533.432763229,10.92322016118,85.7915492957746,85.7915492398353,81.1201877597917,456.412876821297,70.0929235188796,16.5641095983841,5.36762394112844,494.980926691268,5.24070213069344,3.08560465460304,2.45671881892775,0.851094535590077,1.11803056546189,1.34363818714332,0.617155970623209,0.278652332460517,0.393148018922375,0.151844799340537,0.157068042944227,0.495342178364513,0.468681929203501,0.250939738609157,0.276842845332291,0.196005487780127
8,9,0,17.8358342452276,668.5574375,4.24166666666667,188.3877,354.5779375,1254.69228,1509.19228,271039.549896426,85.1008623567049,74.0226719056975,74.0227474198058,59.7794459639581,83.5515576054826,42.9144954553042,3.97260274489114,5.80056379509752,9.62516726287261,49.5944700103325,2.28590976307291,1.72878628858035,2.57846473612115,0.726988074970083,0.0211206475387656,0.0529211111392509,2.06839058227481e-05,0.00189543413368849,0.0260963369118375,0.0300215841699608,0.673014614883625,0.326332239918248,0.100114153600227,0.165725705244303,0.0642625700459302
12,13,0,8.50068934135928,87.814,1.36916666666667,52.6884,0,0,82.15,310891.644542143,27.3006388738237,64.1368228849665,77.7210075192576,17.5003508722447,3.04445438921142,38.1930961561702,10.5820573554872,0.951969879964326,6.52042320228878,2.54589026230638,21.2857563609133,3.06589537748733,0.918604544433914,0.604996757805741,0.371041055050865,0.0563618942209319,0.0336796726495811,0.0493274637801326,0.0325539203820465,0.0354531511932531,0.39450321227948,0.238773071642388,0.0871295431940081,0.126139340226097,0.0598189505536816
13,14,0,10.7149534878732,133.228,1.94,79.9368,0,0,116.4,274960.242463544,36.632403182933,68.6742268041237,77.7210075203141,17.6471720954009,228.438721531155,274.310027953433,8.81374078057707,0.379963235004549,4.56529076826643,2.05605075466108,38.5515827616117,0.683511491954039,0.779647239675682,0.168965974725792,0.598441506953777,0.182871814393717,0.085953271226417,0.123615879667339,0.0570518352062401,0.0603465161944674,0.385851707433381,0.27422521960128,0.1188717009832,0.152813594759457,0.0868670331630291
12,15,0,3.81274084456477,90.895,1.52833333333333,54.537,0,0,91.7,465925.111398882,42.3502630006014,59.4732824427481,59.4740925684788,6.49127263837219,1.36538627634901,5.53625175171873,6.88631875056486,2.08719597406829,6.62906870646603,2.29543398629886,20.1814979335363,5.92666744923882,0.801094450740832,1.01242525836883,0.0271561486613412,0.119352104662811,0.0417832312403645,0.0584782337635899,0.0077704418483062,0.00623665554560849,0.283687200253325,0.121430593482086,0.0212311164526985,0.0546881863209033,0.0080848195743868
15,16,0,41.2438203598992,167.5675,2.685,100.5405,0,0,161.1,299174.881902869,50.131987023259,62.4087523277467,77.7210075188553,3.2997098798337,205.6596133729,8.60953314548169,4.99572851642786,2.22709907600873,4.08548069864007,1.64917331400377,45.0985556129231,5.28349981244298,0.6054912063731,0.733449770659972,0.0955154730297094,0.046944516066756,0.0131526793822643,0.0177599775356791,0.00389511410639783,0.00537854360602366,0.237575578587881,0.119839461567852,0.031915229685642,0.0583266713086021,0.0185739947836084
16,17,0,403.573245027922,116.749,1.39583333333333,70.0494,0,0,83.75,146524.520097305,17.1065911968403,83.6410746268657,83.6410746002538,70.3813297472327,96.7629671065809,6.57417684262837,13.5599522351857,0.580194391906758,3.57181962406405,2.29178546061287,253.25481179998,5.41220223295623,0.949713775328437,0.722460224503407,1.45999158039242,0.569046405726821,0.250720109429539,0.359085586618424,0.143957374339376,0.150059440264691,0.596828493791633,0.514528136916484,0.258203703876677,0.301236921398347,0.196962443028912
10,18,0,222.063429687399,93.252,1.11,55.9512,0,0,66.6,194213.946955775,18.1108389815199,84.0108108108108,84.0108107756496,15.0051726290554,516.458877071721,8.83705100402776,2.7648796026488,94.4619075260073,4.25901334791866,493.052036176618,1.62430582169367,1.35437952533143,4.72177062374877,0.653940183334082,0.156225622802724,0.0844778314481258,0.00828913342414481,0.0162824106608831,0.0237992255971248,0.0277969916536853,0.75829873119395,0.337326959742891,0.0992921519002211,0.169985431656512,0.062981909363601
6,20,0,63.8881073432384,234.8035,2.85416666666667,140.8821,0,0,171.25,180556.475158965,42.395292314988,82.2669197080292,82.2669197378407,39.9189371757794,285.647490920164,4.23305309995913,178.643231497662,3.21131116214617,4.16629263357422,1.55244205171821,1.67358514607472,0.70925476869973,0.474298278313147,0.755219249395752,1.47259325061849,0.544767564365432,0.232452228287772,0.334596439531783,0.125251511382868,0.129774901063804,0.414293989827345,0.406416614809679,0.211678595599256,0.235043613039529,0.163742517380288
20,21,0,38.4932302955194,82.3785,0.984166666666667,49.4271,0,0,59.05,136137.78109061,11.2148261995728,83.7038103302286,83.7038103017133,134.37704555516,83.6376440950002,3.79553717570807,26.3789783199076,2.71773966497589,8.27585625937382,5.62631443838169,1.9069765923021,5.00807152971316,1.58302245025868,2.38647618333239,1.9122920576488,0.840827508522777,0.331118505040561,0.476712466567357,0.145878042642431,0.147297770315669,0.245143346528976,0.147588373466499,0.172868290297379,0.122761847138164,0.151700604505687
21,22,0,22.0450554251194,114.916,1.35583333333333,68.9496,0,0,81.35,100350.467464677,11.5318743191708,84.7567301782422,84.7567301127831,2.46051582729371,12.3665299772893,2.61707133758132,8.89760064640698,2.20050122215363,5.65490469032257,3.22430338204887,0.160269790172617,2.55817471199504,0.864193046879202,1.65986935033692,1.89095601861785,0.734995041181757,0.291956059442155,0.422385134255664,0.13663135584308,0.139226172201453,0.00360037708574608,0.24456410159711,0.186184879681054,0.16386804414942,0.154848691266236
22,23,0,17.0350852531719,739.250759375,2.97333333333333,121.5192,536.718759375,3337.916625,3516.316625,258824.84443711,52.4203133935368,68.1161434977578,68.1161434451506,0.97304884341824,7.08848790128221,1.0771621159428,8.97479190923243,0.836563670153724,2.12387500630886,2.21303185843239,0.935176572446419,3.37242041317451,0.835357077440626,1.245854592119,0.098044265169083,0.130690821610111,0.0448814129088795,0.0622992384303683,0.00751181721025246,0.00571031504808335,0.336684293956066,0.153100711182123,0.0273752880160298,0.0663138714724641,0.0111432630575548
24,25,0,415.247728076262,59.586,0.720833333333333,35.7516,0,0,43.25,140262.363778957,8.35767320813293,82.6626589595376,82.6626589655476,113.934854482709,68.2238892166686,2.64010084310088,166.482794605168,1.68211103193884,4.10003464105317,2.74272210722208,3.5159979080903,2.19712569051301,0.98548073344353,2.41328789998998,1.33841675673888,0.683368063082365,0.266381989655172,0.383482038920721,0.116869286974776,0.117964118427523,0.189115309289961,0.106009074448222,0.136891614411513,0.0961658915329162,0.121025793803704
6,26,0,411.232997562783,161.441,1.94666666666667,96.8646,0,0,116.8,179829.101044826,29.0317899017778,82.9320205479452,82.9320205428474,205.249658832579,59.5689558018348,6.82442139768085,191.209217556842,3.28109643261747,4.29578679479222,4.13064358414115,8.74412314699873,6.52393665037835,1.41360896177657,1.95132329407003,0.534660804533161,0.392916070920066,0.148678003392806,0.211598530158989,0.0522442858223294,0.0507312498428379,0.428733960549524,0.112844895910185,0.0233761948269405,0.0333678889118752,0.0339725340510091
26,27,0,442.198970451893,209.9545,2.48,125.9727,0,0,148.8,139216.041029745,29.2290342863796,84.6590725806452,84.6590725354743,68.6823788739544,114.042083464455,3.5547555592676,43.0021549519064,3.2032189343614,8.76322426917951,3.62415421305439,2.4595082369305,6.46752502536434,1.16348130293973,2.2067497352291,1.26341090557833,0.643812694399435,0.255711574973468,0.36610830227633,0.111509113805763,0.112333644428788,0.210276409535466,0.0920945069811047,0.127037627556157,0.08478782127089,0.113388874921325
27,28,0,367.754681427147,641.933259375,1.24416666666667,63.1287,536.718759375,3337.916625,3412.566625,141679.646456918,14.9067531621414,84.5662424648359,84.5662423995239,49.6876879217382,34.8433003803874,1.82817370763429,2.32056961528954,2.07767927803821,3.91443647348101,2.05469925496666,0.413388416309595,4.99224282321488,0.717483266611637,1.51155603030074,0.567058245753804,0.352172187112013,0.137817835870256,0.196863155506618,0.057339850548469,0.0573439937666726,0.177232801173652,0.00978245600284262,0.0570350384414919,0.0272366952436496,0.0540408549843929
28,29,0,81.6496396042955,65.656,1.26833333333333,39.3936,0,0,76.1,494073.525045229,32.4388913603696,51.7655716162944,51.7655715763149,10.7067633620498,14.6566532125804,0.80713043469341,4.10667898509667,1.37917708345677,1.27795057106197,0.961716257813931,2.48606729850849,4.32156395912286,0.367646567159471,0.605179178908024,0.0789735406016065,0.0416875306869638,0.0130894790702688,0.0178992857876317,0.000219711858919054,0.00112342929579072,0.151281788686015,0.0748405219480801,0.0175038309959168,0.0347195656865218,0.00931298009425494
30,31,0,102.827186878234,115.971,1.38416666666667,69.5826,0,0,83.05,106074.114312705,12.3015211109587,83.783985550873,83.783985519925,4.16128094903838,5.86751640240988,1.33625118447855,22.2820264259302,7.77756143226987,2.31547206643171,1.91601752993051,0.133109192384796,33.7312263350506,0.820842729361737,2.24208384038929,0.41962649743704,0.0987313137235152,0.0311976607171751,0.0412557216080379,0.00213979742582647,0.0045900733889728,0.386584239176696,0.205097750703905,0.0492924475145656,0.0944737838482671,0.026696772731923
31,32,0,100.051865289745,81.1515,1.045,48.6909,0,0,62.7,314306.083110259,25.5064101035222,77.656937799043,77.6569377460949,5.21592835665545,17.1267336354115,0.247328124803462,12.6611020974644,3.69813796559696,0.853922751525555,0.924063061015228,2.57471871490231,46.5936337136215,0.420308749076667,0.532176983654879,0.629018501390898,0.145039268242386,0.062569932392401,0.0925038344752447,0.0401710698917714,0.0424933531614303,0.258332992981842,0.197256195707924,0.0842834054047708,0.107454646778827,0.0611952676297705
32,33,0,214.969758152951,118.365,1.43833333333333,71.019,0,0,86.3,151085.92489142,17.8832854997729,82.2931633835458,82.2931634117788,263.364363357536,38.294595116784,2.6862211648871,15.3040004357119,6.56711757793378,1.45268154612879,1.41451132238434,1.82363592780622,217.288446867707,0.654676014804018,0.460686231692314,1.1915381668925,0.334070643670499,0.139106776193731,0.204993957164028,0.0828562671844526,0.0870161576481877,0.428380745996973,0.35257309917386,0.161649456987351,0.197240493871768,0.119845810136587
33,34,0,697.116306903137,154.0245,1.88833333333333,92.4147,0,0,113.3,172817.119983828,26.6180704969491,81.566372462489,81.5663725459821,246.429341990027,9.93365468043965,21.4456079637203,0.934297382499209,92.1870263361025,1.34173255545896,0.753703516001693,4.91479120564998,295.268185619667,0.313664107842303,4.64841511725666,0.663161014144618,0.546613148145243,0.216811099372028,0.310569556395053,0.0990161109389088,0.100493644468449,0.0269478017284281,0.129958950517801,0.125750432837875,0.103302446557099,0.108072498783824
34,35,0,697.116306903138,96.46,1.25416666666667,57.876,0,0,75.25,393669.47672512,37.9733577249051,76.9116279069767,77.721007522232,249.227092553294,22.3817433305227,6.34006286052149,6.26972614038462,402.204711558109,0.48586886960459,0.593478409605125,2.57139106712092,74.61228580849,0.300268304013495,0.410465685746871,0.859673841865576,0.299654579912848,0.119798436892278,0.17623447878226,0.0655289357333809,0.0682174466375057,0.239351197543507,0.227758729014828,0.116252415111708,0.132748062222704,0.0886987826783007
